id,train_name,train_code,route,created_at
,BENAPOLE EXPRESS,796,DHAKA - BENAPOLE,
,KURIGRAM EXPRESS,797,DHAKA - KURIGRAM,
,KURIGRAM EXPRESS,798,KURIGRAM - DHAKA,
,JAMALPUR EXPRESS,799,DHAKA - BHUAPUR,
,JAMALPUR EXPRESS,800,BHUAPUR - DHAKA,
,CHATTALA EXPRESS,801,CHATTOGRAM - DHAKA,
,CHATTALA EXPRESS,802,DHAKA - CHATTOGRAM,
,BANGLABANDHA EXPRESS,803,RAJSHAHI - B SIRAJUL ISLAM,
,BANGLABANDHA EXPRESS,804,B SIRAJUL ISLAM - RAJSHAHI,
,CHILAHATI EXPRESS,805,Dhaka - Chilahati,
,CHILAHATI EXPRESS,806,CHILAHATI-DHAKA,
,BURIMARI EXPRESS,809,DHAKA-LALMONIRHAT,
,BURIMARI EXPRESS,810,LALMONIRHAT-DHAKA,
,COXS BAZAR EXPRESS,813,Cox's Bazar - DHAKA ,
,COXS BAZAR EXPRESS,814,DHAKA - COX'S BAZAR,
,PARJOTAK EXPRESS,815,Cox's Bazar - DHAKA ,
,PARJOTAK EXPRESS,816,DHAKA - COX'S BAZAR,
,RAJSHAHI COMMUTER,57,ISHWARDI - ROHANPUR,
,RAJSHAHI COMMUTER,58,ROHANPUR - RAJSHAHI,
,RAJSHAHI COMMUTER,77,RAJSHAHI - ROHANPUR,
,RAJSHAHI COMMUTER,78,ROHANPUR - ISHWARDI,
,CHANDANA COMMUTER,121,RAJBARI - BHANGA,
,CHANDANA COMMUTER,124,BHANGA - RAJBARI ,
,BHANGA COMMUTER,122,DHAKA  - BHANGA,
,BHANGA COMMUTER,123,BHANGA - DHAKA,
